date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
2014-06-08 09:50:01+02,00060029-0003-4444-8888-acdc00000003,1.329,1.549,1.509,1,1,1
2014-06-08 09:50:01+02,00060034-0011-4444-8888-acdc00000011,1.389,1.619,1.579,0,1,1
2014-06-08 09:50:01+02,00060059-0004-4444-8888-acdc00000004,1.369,1.569,1.529,1,1,1
2014-06-08 09:50:01+02,00060063-0001-4444-8888-acdcffffffff,1.349,1.559,1.519,1,1,1
2014-06-08 09:50:01+02,00060146-0001-4444-8888-acdc00000001,1.339,1.569,1.529,1,1,1
2014-06-08 09:50:01+02,00060158-0001-4444-8888-acdcffffffff,1.359,1.608,1.569,1,1,1
2014-06-08 09:50:01+02,00060182-0001-4444-8888-acdc00000001,1.329,1.529,1.489,1,1,1
2014-06-08 09:50:01+02,00060262-0001-4444-8888-acdc00000001,1.349,1.539,-0.001,1,1,0
2014-06-08 09:50:01+02,00060277-0005-4444-8888-acdc00000005,1.369,-0.001,-0.001,1,0,0
2014-06-08 09:50:01+02,00060279-0001-4444-8888-acdc00000001,1.339,1.539,1.499,0,1,1
2014-06-08 09:50:01+02,00060368-0012-4444-8888-acdc00000012,1.359,1.549,1.509,1,1,1
2014-06-08 09:50:01+02,00060453-0001-4444-8888-acdc00000001,1.349,1.579,1.539,1,1,1
2014-06-08 09:50:01+02,00060470-0010-4444-8888-acdc00000010,1.389,1.609,1.569,0,1,1
2014-06-08 09:50:01+02,00060584-0002-4444-8888-acdc00000002,1.359,1.559,1.519,1,1,1
2014-06-08 09:50:01+02,00060613-0004-4444-8888-acdc00000004,1.329,1.549,1.509,1,1,1
2014-06-08 09:50:01+02,00060636-0067-4444-8888-acdc00000067,1.359,1.559,1.519,1,1,1
2014-06-08 09:50:01+02,00060664-0001-4444-8888-acdc00000001,1.369,1.609,1.569,1,1,1
2014-06-08 09:50:01+02,00060671-0066-4444-8888-acdc00000066,1.319,1.509,1.469,1,1,1
2014-06-08 09:50:01+02,00060672-0065-4444-8888-acdc00000065,1.369,1.549,1.509,1,1,1
2014-06-08 09:50:01+02,00060690-0001-4444-8888-acdc00000001,1.359,1.569,1.529,1,1,1
2014-06-08 09:50:01+02,00060692-0003-4444-8888-acdc00000003,1.349,1.559,1.519,1,1,1
